"WBIC","surveyYear","PE","Density"
1588200,2014,1989,2.766342142
2742700,1991,2383,2.392570281
2742700,1993,2415,2.424698795
2742700,1999,1688,1.694779116
2742700,2004,2015,2.023092369
2742700,2011,558,0.560240964
2747300,1992,2933,3.430409357
2747300,2009,2570,3.005847953
2079800,2008,391,0.892694064
2079800,2011,469,1.070776256
439800,1994,2983,10.18088737
439800,1997,1507,5.14334471
2339100,1989,1755,2.391008174
2694000,1991,1968,2.365384615
2694000,2001,974,1.170673077
2392000,2002,1244,1.582697201
2694000,2005,880,1.057692308
2694000,2014,2512,3.019230769
2046500,2011,1402,13.74509804
2046600,1993,1275,2.442528736
2046600,2016,1063,2.036398467
2336100,1993,784,1.994910941
2336100,1994,1174,2.987277354
2336100,1995,1893,4.816793893
2336100,1996,1382,3.51653944
2336100,1997,1971,5.015267176
2336100,1998,2602,6.62086514
2336100,1999,2245,5.712468193
2336100,2000,1773,4.511450382
2336100,2002,2907,7.396946565
2336100,2003,2236,5.68956743
2336100,2004,1697,4.318066158
2336100,2005,1531,3.8956743
2675200,1996,8348,3.650196764
2675200,2014,6987,3.05509401
396500,2018,661,0.66
478200,2018,238,2.9
1564400,2018,84,1.06
540600,2018,763,0.51
974200,2018,478,4.6
1517200,2018,283,1.2
1589100,2018,1964,6.5
1543300,2018,1578,2.67
1595800,2018,606,1.27
1592400,2018,2952,2.86
1018500,2018,799,3.34
2954800,2018,1501,2.94
2344000,2018,164,0.22
2343200,2018,78,0.24
2339900,2018,2273,7.76
2335300,2018,222,2.52
2094300,2018,1122,2.22
2094100,2018,2269,1.48
2897300,2018,164,1.48
2897100,2018,410,1.2
2171000,2018,193,0.99
2157000,2018,4271,6.46
2741600,2018,968,1.21
2492100,2018,101,0.39
2309100,2018,102,0.86
2309700,2018,323,1.67
2307300,2018,123,0.3
2296500,2018,30,0.36
2316100,2018,104,0.94
2627400,2018,771,0.76
2268600,2018,200,0.89
2217000,2018,4205,8.21
2268300,2018,761,0.94
2267800,2018,1532,2.11
2268500,2018,148,0.99
2359700,2018,1666,5.99
2353600,2018,302,1.15
2391200,2018,4893,1.57
2395100,2018,32,0.15
2706500,2018,643,1.21
2496300,2018,1524,0.59
2882300,2018,1809,5.48
2694000,2018,1434,1.72
692400,2018,3097,2.4
377900,2018,517,2.92
1523600,2018,8481,21.2
1536300,2018,4226,3.21
2641000,2018,997,2.64
2275100,2018,2108,4.91
2334700,2018,4425,5.3
2953500,2018,1833,1.93
716800,2018,1708,1.78
2328700,2018,1045,2.44
1880700,2018,247,2.01
2271600,2018,2184,2.78
2451900,2018,730,3.88
1631900,2018,3208,0.75
2410400,2019,679,4.09
2935500,2019,146,0.69
2081200,2019,538,0.48
2100300,2019,173,1.73
2100800,2019,1236,8.03
2742500,2019,330,1.73
2900200,2019,1402,1.06
2742100,2019,1436,1.6
2678100,2019,238,0.61
2152800,2019,2666,0.42
2296500,2019,61,0.73
2316100,2019,121,1.09
2306300,2019,370,1.05
2618100,2019,959,3.98
2624600,2019,750,3.25
2618000,2019,5142,4.34
2283300,2019,3994,3.97
2355300,2019,948,1.78
2113000,2019,456,1.24
2691500,2019,514,0.67
2109300,2019,578,2.58
1523000,2019,468,2.55
2958500,2019,1677,3.31
2332300,2019,1220,7.35
394400,2019,7627,3.83
1596600,2019,287,1.05
555700,2019,164,0.49
1445600,2019,341,1.21
2331600,2019,9050,2.37
2329600,2019,413,1.51
2329000,2019,1434,2.58
2334400,2019,5806,5.68
2334300,2019,478,1.96
2329400,2019,726,1.43
2327500,2019,1676,2.76
2329300,2019,383,1.41
2328800,2019,225,1.62
2329800,2019,50,0.13
417400,2019,1593,4.05
1445500,2019,175,0.68
1481600,2019,82,0.56
1528700,2019,374,2.66
2339900,2019,3207,10.94
2335300,2019,306,3.47
2882300,2019,1006,3.05
692400,2019,2590,2
378400,2019,1159,2.8
1579700,2019,1506,2.98
1523600,2019,3986,9.97
1542300,2019,1747,2.61
1542400,2019,5140,3.78
1536300,2019,7210,5.47
2393500,2019,1266,1.76
2953800,2019,614,2.88
2762200,2019,1072,2.3
716800,2019,5159,5.39
1880700,2019,310,2.52
2271600,2019,2057,2.62
2451900,2019,420,2.23
2902700,2020,807,1.13
2747300,2020,975,1.14
377900,2020,480,2.71
1542300,2020,2120,3.16
2296500,2020,102,1.21
2316100,2020,116,1.05
691800,2020,288,1.63
1881900,2020,433,2.81
