"WBIC","species","surveyYear","county","meanEF_CPEkm","totalFishCaught","totalDistShockedKm","totalHoursSampled","std","N"
1396900,"WALLEYE",2009,"PORTAGE",2.83967340648962,16,2.485484,2,NA,1
1405200,"WALLEYE",2000,"MARATHON",4.03892278822374,13,1.242742,1,NA,1
1406300,"WALLEYE",2002,"MARATHON",1.81440839101744,7,1.242742,1,NA,1
1409400,"WALLEYE",2009,"PORTAGE",59.6517827183814,192,1.242742,1,NA,1
1409400,"WALLEYE",2015,"PORTAGE",62.764860128997,633,3.728226,4,NA,1
1412200,"WALLEYE",1997,"MARATHON",20.3188884884487,1030,19.883872,11,NA,1
1412200,"WALLEYE",2003,"MARATHON",24.8549094659923,1360,21.126614,13,NA,1
1412200,"WALLEYE",2014,"MARATHON",13.7509786620602,83,2.485484,2,NA,1
1427400,"WALLEYE",2003,"MARATHON",24.1092621820125,3628,58.408874,36,NA,1
1427400,"WALLEYE",2009,"MARATHON",9.91089514956442,67,2.485484,1,NA,1
1427400,"WALLEYE",2011,"MARATHON",24.0719798178135,368,6.21371,8,NA,1
1427400,"WALLEYE",2013,"MARATHON",9.61884996333901,65,2.485484,2,NA,1
1427400,"WALLEYE",2014,"MARATHON",15.5343184162452,105,2.485484,2,NA,1
1427400,"WALLEYE",2015,"MARATHON",67.3133085612736,455,2.485484,2,NA,1
1427400,"WALLEYE",2016,"MARATHON",57.837374327364,417,2.485484,2,NA,1
1434900,"WALLEYE",2001,"MARATHON",0.416319733555371,2,1.864113,2,NA,1
1434900,"WALLEYE",2010,"MARATHON",13.9808865746207,45,1.242742,2,NA,1
1437500,"WALLEYE",1995,"MARATHON",28.5520772490586,1298,17.398388,15,NA,1
1437500,"WALLEYE",2005,"MARATHON",10.5633365230467,136,4.970968,3,NA,1
1437800,"WALLEYE",2000,"MARATHON",0.136702002062957,1,3.106855,1,NA,1
1445500,"WALLEYE",2007,"LANGLADE",0.155343184162452,2,4.970968,4,NA,1
1445600,"WALLEYE",2002,"LANGLADE",0.90099046814222,19,8.077823,7,NA,1
1469100,"WALLEYE",2015,"TAYLOR",12.8064921023525,81,2.485484,2,NA,1
1482400,"WALLEYE",2007,"LINCOLN",17.6935886761032,131,2.485484,4,21.5865859045914,2
1490300,"WALLEYE",2006,"LINCOLN",2.1033467135596,27,4.970968,4,2.53520457295934,2
1494600,"WALLEYE",2011,"LINCOLN",34.8217281618552,853,9.320565,14,NA,1
1502400,"WALLEYE",2013,"LINCOLN",11.327624989126,298,9.941936,7,NA,1
1503000,"WALLEYE",2013,"LINCOLN",7.86036511862006,238,11.806049,9,NA,1
1506800,"WALLEYE",2005,"LINCOLN",6.45606273379149,332,19.262501,14,2.35942927634567,5
1515200,"WALLEYE",2000,"TAYLOR",19.6353784781339,79,1.864113,1,NA,1
1515200,"WALLEYE",2001,"TAYLOR",45.8573079647557,246,3.728226,3,43.2346845717849,2
1515200,"WALLEYE",2004,"TAYLOR",11.414617172257,90,3.106855,2,NA,1
1515400,"WALLEYE",2009,"LINCOLN",48.5261038686667,1778,32.932663,31,44.144194704545,2
1516000,"WALLEYE",2015,"LINCOLN",10.3210011557533,149,5.592339,5,NA,1
1516400,"WALLEYE",2001,"LINCOLN",11.7501584500478,416,13.670162,8,NA,1
1516400,"WALLEYE",2012,"LINCOLN",22.3134949730946,265,4.349597,7,NA,1
1516500,"WALLEYE",2012,"LINCOLN",11.153640622864,517,18.019759,13,NA,1
1516800,"WALLEYE",2012,"LINCOLN",2.73404004125915,29,4.349597,4,NA,1
1517200,"WALLEYE",2000,"ONEIDA",19.0699292877826,221,4.349597,4,NA,1
1517200,"WALLEYE",2006,"ONEIDA",1.55343184162452,27,6.835081,5,NA,1
1517900,"WALLEYE",2002,"ONEIDA",3.96435805982577,51,4.970968,5,NA,1
1519600,"WALLEYE",2001,"LINCOLN",5.03311916686343,47,3.728226,2,NA,1
1520900,"WALLEYE",2003,"ONEIDA",1.70256129842047,103,23.612098,18,NA,1
